epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,300.691,0.81689,0.56945,1.24224,0.84642,0.83529,0.89921,0.64414,0.85328,0.96142,1.34224,0.000960682,0.000960682,0.000960682
43,307.479,0.83705,0.64094,1.24874,0.89626,0.81489,0.90537,0.64835,0.88115,0.90018,1.37537,0.000957015,0.000957015,0.000957015
44,314.069,0.88076,0.66398,1.29662,0.87164,0.87019,0.95082,0.64501,0.86426,0.81657,1.33911,0.000953349,0.000953349,0.000953349
45,320.77,0.8553,0.62277,1.27311,0.87608,0.86226,0.93607,0.64486,0.93371,0.91063,1.43797,0.000949683,0.000949683,0.000949683
46,327.607,0.78477,0.57083,1.22718,0.85042,0.80982,0.92859,0.65033,0.87959,0.91755,1.36311,0.000946016,0.000946016,0.000946016
47,334.595,0.82976,0.60651,1.2656,0.92846,0.84466,0.94423,0.72356,0.78534,0.758,1.32256,0.00094235,0.00094235,0.00094235
48,341.678,0.79866,0.56206,1.25701,0.93957,0.84195,0.93063,0.71151,0.80121,0.76888,1.26641,0.000938684,0.000938684,0.000938684
49,348.036,0.82951,0.57824,1.25305,0.90222,0.88984,0.93535,0.69877,0.83144,0.78308,1.31988,0.000935018,0.000935018,0.000935018
50,354.956,0.87228,0.608,1.29465,0.93756,0.92429,0.95699,0.68022,0.89516,0.7274,1.35696,0.000931351,0.000931351,0.000931351
51,361.266,0.80104,0.58873,1.24456,0.92449,0.90476,0.94645,0.70231,0.92033,0.66417,1.3572,0.000927685,0.000927685,0.000927685
52,368.061,0.83218,0.57649,1.27614,0.92637,0.90898,0.95202,0.70986,0.87161,0.70047,1.35779,0.000924019,0.000924019,0.000924019
53,374.34,0.83223,0.5893,1.25505,0.901,0.93661,0.9616,0.68549,0.84538,0.581,1.30422,0.000920352,0.000920352,0.000920352
54,381.116,0.81149,0.5455,1.24889,0.93667,0.92061,0.9668,0.67784,0.88597,0.62201,1.35253,0.000916686,0.000916686,0.000916686
55,387.439,0.77405,0.53279,1.24861,0.93254,0.92793,0.97028,0.72026,0.82185,0.58245,1.28699,0.00091302,0.00091302,0.00091302
56,394.248,0.80255,0.60555,1.24759,0.94697,0.89639,0.96778,0.71722,0.78331,0.55809,1.2809,0.000909353,0.000909353,0.000909353
57,400.515,0.78514,0.5839,1.24206,0.9322,0.92446,0.96807,0.71031,0.84925,0.55463,1.31034,0.000905687,0.000905687,0.000905687
58,407.351,0.79447,0.56747,1.23588,0.9821,0.92455,0.9717,0.75496,0.81056,0.53085,1.32736,0.000902021,0.000902021,0.000902021
59,413.809,0.76228,0.56525,1.2438,0.9136,0.92956,0.95037,0.7539,0.80956,0.65729,1.30179,0.000898355,0.000898355,0.000898355
60,420.699,0.77308,0.57415,1.22334,0.94455,0.90841,0.95003,0.77204,0.80421,0.65038,1.26761,0.000894688,0.000894688,0.000894688
61,427.073,0.76457,0.57138,1.20963,0.92182,0.90909,0.9577,0.71868,0.79934,0.61251,1.26252,0.000891022,0.000891022,0.000891022
62,433.85,0.76406,0.62225,1.23125,0.96873,0.9104,0.95645,0.7126,0.80426,0.56552,1.26288,0.000887356,0.000887356,0.000887356
63,440.136,0.8132,0.59957,1.27292,0.95402,0.92114,0.96841,0.72321,0.79367,0.53097,1.26797,0.000883689,0.000883689,0.000883689
64,446.74,0.72239,0.52313,1.20598,0.94148,0.91024,0.95961,0.70768,0.83037,0.56577,1.31289,0.000880023,0.000880023,0.000880023
65,453.002,0.74886,0.56956,1.24551,0.92596,0.87465,0.95024,0.70304,0.83766,0.59181,1.33159,0.000876357,0.000876357,0.000876357
66,459.705,0.76515,0.57268,1.2202,0.90438,0.91053,0.96462,0.74291,0.7894,0.52811,1.25889,0.000872691,0.000872691,0.000872691
67,466.006,0.7598,0.52431,1.2254,0.93241,0.87023,0.95702,0.73065,0.78399,0.65794,1.28149,0.000869024,0.000869024,0.000869024
68,472.739,0.78018,0.55976,1.22542,0.86072,0.74175,0.90284,0.71165,0.81652,1.27338,1.29597,0.000865358,0.000865358,0.000865358
69,479.417,0.78403,0.56046,1.25181,0.89907,0.76267,0.92307,0.6886,0.83339,1.00825,1.27433,0.000861692,0.000861692,0.000861692
